ID,surveyExpUnderstanding,all clear,Calculations are too complicated,payoff mechanism is not clear enough/inconsistent with the description,The description/flow of the text is unclear or not enough,The purpose or motivation is not clear,The instruction or questions are too long/too complicate,Fairness,Suggestions,Others
507,no,1,,,,,,,,
499,It took some time to understand Part 1 but the practice tasks helped clarify that,1,,,,,,,,
497,None,1,,,,,,,,
508,No,1,,,,,,,,
517,No.,1,,,,,,,,
518,all clear,1,,,,,,,,
501,It was very clear with many examples.,1,,,,,,,,
496,No. The instructions were quite straightforward.,1,,,,,,,,
502,"In Part 1 Stage 2, it was confusing at first for Members, specifically Question 2(a) and 2(b). I felt that the questions itself was not explicit enough for me to fully grasp the differences between Question 1 and 2.",,,,1,,,,,
516,part 1 payment section is confussing can give a full example,,,1,,,,,,
509,no,1,,,,,,,,
514,"No, it weren't. I just not expected that the choosen leaders need to shot out when the experimenter mention their number.",1,,,,,,,,1
505,All good,1,,,,,,,,
506,no,1,,,,,,,,
513,No,1,,,,,,,,
511,None,1,,,,,,,,
498,none.,1,,,,,,,,
500,All good,1,,,,,,,,
503,No,1,,,,,,,,
510,"One thing that I was not sure about was the disclose of the investment decisions. I thought it would be shown after stage 1, part 1 of the experiment as stated in the instruction, but it was not. In addition, the determination on whether we receive 200 ECU from the prediction was not very clear for me. for instance, with the example 2 shown in the instruction, does it impicate if the number randomly drawn by the computer is less tha or equal to 51, we will receive the 200 ecu?",,,1,1,,,,,
504,NONE,1,,,,,,,,
495,No.,1,,,,,,,,
512,No. The instructions were clear. ,1,,,,,,,,
528,no,1,,,,,,,,
520,"No, but can easily remove Part 2",1,,,,,,,,
535,Its clear.,1,,,,,,,,
541,None,1,,,,,,,,
532,no,1,,,,,,,,
523,"No, for this experiment i felt all of the parts are clear",1,,,,,,,,
540,No,1,,,,,,,,
524,Everything was pretty clear from my side.,1,,,,,,,,
529,"No, it was clear. The instruction were pretty well explained. ",1,,,,,,,,
542,No it is clear and fun.,1,,,,,,,,
538,N/A,1,,,,,,,,
530,No,1,,,,,,,,
526,"None, all instructions are clear for me.",1,,,,,,,,
522,None.,1,,,,,,,,
536,"no, everything was clear",1,,,,,,,,
537,No,1,,,,,,,,
521,"they were all clear and easy to follow, ",1,,,,,,,,
534,everything is clearly,1,,,,,,,,
533,everything was clear,1,,,,,,,,
525,THere weren't any parts of the experiment that was hard to follow.,1,,,,,,,,
527,Maybe there should be an option that I can choose not to invest at all? It were all clear.,,,,,,,,1,
539,"Since it was my first time, i was a little bit confused on how the experiment works, but my doubts and confusion was cleared anyways. ",1,,,,,,,,
519,"yes, we are not given instruction about whether the partner will know our decision in part two",,,,1,,,,,
531,"not,all is good",1,,,,,,,,
552,no,1,,,,,,,,
543,"No, it was very clear",1,,,,,,,,
561,"no, all good. although the part 1 task is kinda complex at a first glance.",1,,,,,,,,
557,no,1,,,,,,,,
548,"In part 2, the instruction does not say that my partner's decision and mine are independent.",,,,1,,,,,
563,no,1,,,,,,,,
545,No,1,,,,,,,,
549,The point of adjusting the leader's pay was not intuitive for me,,,,,1,,,,
562,no. it is really easy to read and the practice session is really helpful.,1,,,,,,,,
555,No,1,,,,,,,,
566,"No, it was clear.",1,,,,,,,,
544,"it was clear enogh , I just thoght the result would appear in real time",1,,,,,,,,
560,every part of the experiment was clearly instructed,1,,,,,,,,
551,No. everything was clealy described,1,,,,,,,,
547,All instructions were well set out and easy to understand,1,,,,,,,,
556,"no, every part is clear and easy to unerstand.",1,,,,,,,,
553,No,1,,,,,,,,
559,No.,1,,,,,,,,
550,"no, all parts were very clear",1,,,,,,,,
565,No,1,,,,,,,,
546,everything was clear.,1,,,,,,,,
564,"No, it is all very clear enough.",1,,,,,,,,
554,"every question is explained clearly but I really confuse by the intention of part 2, from my understanding, it is just a probability question, 50% of getting the desired money if the computer just randomly chose",,,,,1,,,,
558,no,1,,,,,,,,
577,Part 1 . Too long,,,,,,1,,,
584,No,1,,,,,,,,
570,"It was initially unclear if I were to make a decision for 5 different scenarios of investments, and if I was a member in part 2, if I were to answer the questions iteratively 5 times. On page two, the line 'The two investments are..' led me to falsely believe that these were the investments to be actually implemented and used in the experiment. ",,,,1,,,,,
582,"no, all instructions are clearly explained.",1,,,,,,,,
575,"No, everything was clearly explained and easy to understand.",1,,,,,,,,
581,"No, everything was clear.",1,,,,,,,,
572,No. Thats all clear,1,,,,,,,,
576,"No, I have known for both two parts. The instructor gives us enough time.",1,,,,,,,,
580,Overall the instruction given are very clear and easy to follow. I understand all the instruction of th experiment. ,1,,,,,,,,
587,No,1,,,,,,,,
578,mo,1,,,,,,,,
573,None,1,,,,,,,,
586,No.,1,,,,,,,,
567,no there werent any parts unclear to me,1,,,,,,,,
574,"Stage 2 Question 2 was clear to me, but I did not understand the objective of predicting the payoffs of a known outcome. ",,,,,1,,,,
568,"None, the experiment was clearly outlined in the document as well as by the invigilators. I did not find any issues with any part of the experiment personally. All in all, a well rounded experiment process.",1,,,,,,,,
579,"Nope, it was fun!",1,,,,,,,,
585,"No, everything was made clear. ",1,,,,,,,,
571,No,1,,,,,,,,
569,"No, it is all clear.",1,,,,,,,,
583,no,1,,,,,,,,
589,NO,1,,,,,,,,
590,Nothing,1,,,,,,,,
588,No.,1,,,,,,,,
